Date,Time,ControlMode,RobotStatus,RobotAutoControlStage,Battery1VoltsRaw,Battery1AmpsRaw,Battery2VoltsRaw,Battery2AmpsRaw,WaterLevel,TempatureRaw,CH6,CH7,LeftDriveSign,LeftDriveMag,LeftDriveEncoder,RightDriveSign,RightDriveMag,RightDriveEncoder,Battery1Volts,Battery1Amps,Battery2Volts,Battery2Amps,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,CollectionMotor1,CollectionMotor2
2018-07-22,18-58-48.014,Auto,Idle,None,3.67,2.62,0.01,0.05,0.32,1.05,NC,NC,0,0,0,0,0,0,13.75,0.24,0.05,1.44,243,164,-515,16,6,-515,1,1
2018-07-22,18-58-48.029,Auto,Idle,None,3.67,2.6,0.01,0.05,0.32,1.05,NC,NC,0,0,0,0,0,0,13.75,0.2,0.05,1.56,243,164,-515,16,6,-515,1,1
2018-07-22,18-58-48.061,Auto,Idle,None,3.67,2.6,0.01,0.05,0.32,1.05,NC,NC,0,0,0,0,0,0,13.75,0.2,0.05,1.56,243,126,-515,16,14,-515,1,1
2018-07-22,18-58-48.077,Auto,Idle,None,3.67,2.61,0.01,0.05,0.32,1.05,NC,NC,0,0,0,0,0,0,13.75,0.22,0.05,1.56,243,126,-515,16,14,-515,1,1
2018-07-22,18-58-48.138,Auto,Idle,None,3.66,2.6,0.01,0.05,0.33,1.05,NC,NC,0,0,0,0,0,0,13.6,0.2,0.05,1.44,243,122,-515,16,17,-515,1,1
2018-07-22,18-58-48.142,Auto,Idle,None,3.66,2.61,0.01,0.05,0.32,1.05,NC,NC,0,0,0,0,0,0,13.6,0.22,0.05,1.44,243,122,-515,16,17,-515,1,1
2018-07-22,18-58-48.146,Auto,Idle,None,3.69,2.62,0.01,0.05,0.32,1.05,NC,NC,0,0,0,0,0,0,14.05,0.24,0.05,1.44,243,138,-515,15,253,-515,1,1
2018-07-22,18-58-48.152,Auto,Idle,None,3.66,2.59,0.01,0.05,0.31,1.05,NC,NC,0,0,0,0,0,0,13.6,0.18,0.05,1.56,243,138,-515,15,253,-515,1,1
2018-07-22,18-58-48.167,Auto,Idle,None,3.67,2.6,0.01,0.05,0.32,1.05,NC,NC,0,0,0,0,0,0,13.75,0.2,0.05,1.56,243,138,-515,15,253,-515,1,1
2018-07-22,18-58-48.196,Auto,Idle,None,3.66,2.6,0.01,0.05,0.31,1.05,NC,NC,0,0,0,0,0,0,13.6,0.2,0.05,1.56,243,146,-515,16,25,-515,1,1
2018-07-22,18-58-48.212,Auto,Idle,None,3.66,2.61,0.01,0.05,0.32,1.05,NC,NC,0,0,0,0,0,0,13.6,0.22,0.05,1.56,243,146,-515,16,25,-515,1,1
2018-07-22,18-58-48.236,Auto,Idle,None,3.66,2.61,0.01,0.05,0.32,1.05,NC,NC,0,0,0,0,0,0,13.6,0.22,0.05,1.56,243,144,-515,16,7,-515,1,1
2018-07-22,18-58-48.263,Auto,Idle,None,3.67,2.63,0.01,0.05,0.32,1.05,NC,NC,0,0,0,0,0,0,13.75,0.26,0.05,1.56,243,144,-515,16,7,-515,1,1
2018-07-22,18-58-48.281,Auto,Idle,None,3.68,2.62,0.01,0.05,0.32,1.05,NC,NC,0,0,0,0,0,0,13.9,0.24,0.05,1.44,243,144,-515,16,7,-515,1,1
2018-07-22,18-58-48.295,Auto,Idle,None,3.68,2.62,0.03,0.14,0.32,1.05,NC,NC,0,0,0,0,0,0,13.9,0.24,0.14,1.56,243,138,-515,15,253,-515,1,1
2018-07-22,18-58-48.310,Auto,Idle,None,3.69,2.61,0.03,0.14,0.32,1.05,NC,NC,0,0,0,0,0,0,14.05,0.22,0.14,1.56,243,138,-515,15,253,-515,1,1
